"Language","File Count 1","Length 1 GB","File Count 2","Length 2 GB","File Count 3","Length 3 GB","File Count 4","Length 4 GB","File Count 5","Length 5 GB","File Count Sum","Length Sum GB"
"eng","24","12.5","589","301.59","6881","3124.06","6668","2815.39","19423","7617.6","33585","13871.13"
"eng-us","14","7.66","365","193.5","4178","1965.03","3936","1725.86","11145","4542.59","19638","8434.63"
"eng-gb","4","3.69","118","88.96","1283","824.04","1154","685.01","3098","1688.82","5657","3290.52"
"eng-fiction","1","0.88","47","29.2","549","281.86","515","240.91","1449","613.76","2561","1166.6"
"chi_sim","1","0.06","6","2.53","59","22.7","46","16.81","105","35.87","217","77.97"
"fre","6","4.9","115","91.99","1197","806.99","1104","673.92","3071","1696.38","5493","3274.19"
"ger","8","7.28","181","135.35","1369","902.17","1003","628.03","2262","1325.2","4823","2998.02"
"heb","1","0.63","10","8.5","45","34.25","25","19.17","42","29.85","123","92.4"
"ita","2","2.79","60","58.54","553","436.84","427","310.59","984","651.81","2026","1460.57"
"rus","2","2.13","69","46.51","471","275.48","313","175.14","633","331.66","1488","830.92"
"spa","3","3","73","57.8","688","451.35","571","345.4","1415","786.8","2750","1644.35"
"Total","66","45.51",,"1014.45","17273","9124.77","15762","7636.22","43627","19320.34","78361","37141.29"
